股票代码,股票名称,最大回撤,VaR_95
000001.SZ,"000001
(深)",-17.8300455235205,-1.43268947714046
000002.SZ,"000002
(深)",-41.071428571428456,-3.10309701799062
000063.SZ,"000063
(深)",-33.79603923746067,-4.16234752964141
000100.SZ,"000100
(深)",-22.8456913827655,-2.2805618172360003
000157.SZ,"000157
(深)",-18.95113230035758,-2.18946531408881
000166.SZ,"000166
(深)",-15.18026565464895,-1.89313346228239
000301.SZ,"000301
(深)",-22.18749999999999,-2.47990815154994
000333.SZ,"000333
(深)",-14.42038216560507,-1.6145492748424002
000338.SZ,"000338
(深)",-17.986896962477562,-2.50338430511237
000408.SZ,"000408
(深)",-13.80836934752821,-3.33477460615125
