股票代码,股票名称,年化收益率,年化波动率
000001.SZ,"000001
(深)",-5.45720956770013,15.44936044722543
000002.SZ,"000002
(深)",-39.40287740350683,30.44475780439504
000063.SZ,"000063
(深)",-3.0056045326779,45.96336005608356
000100.SZ,"000100
(深)",-1.42587530009016,27.832093028107003
000157.SZ,"000157
(深)",43.26746900479497,28.55618151350054
000166.SZ,"000166
(深)",-3.08871042530596,20.74331827321537
000301.SZ,"000301
(深)",47.77537666318125,30.03097224127705
000333.SZ,"000333
(深)",9.815028001991411,20.730742916114682
000338.SZ,"000338
(深)",99.18122170837702,34.45949748003742
000408.SZ,"000408
(深)",164.22318365790076,37.19045561216343
