股票代码,股票名称,夏普比率,索提诺比率
000001.SZ,"000001
(深)",-0.4826872667754596,-0.6503467881721455
000002.SZ,"000002
(深)",-1.359934530256958,-2.0483693739067435
000063.SZ,"000063
(深)",-0.108904234298149,-0.1627746580352303
000100.SZ,"000100
(深)",-0.1230908252796672,-0.1872818122535451
000157.SZ,"000157
(深)",1.4451326058872715,2.098504061656294
000166.SZ,"000166
(深)",-0.245318051735084,-0.2870238495190346
000301.SZ,"000301
(深)",1.52427221787591,2.208615045530343
000333.SZ,"000333
(深)",0.3769777105246205,0.4547737282964412
000338.SZ,"000338
(深)",2.820157832094756,5.066396549566263
000408.SZ,"000408
(深)",4.361957415892598,6.099919179259925
